titles,desc,valid
Frontend Developer,Competências: Jest · Jenkins · Angular Material · JavaScript · CSS · HTML5 · Angular · Bootstrap,front
Frontend Developer,"Atuação nos projeto de internet banking web e mobile com AngularJS, Angular 8/9/10.",front
Front End Developer,"Web Development in HTML, CSS, Javascript, Jquery, Php",front
Senior Frontend Developer,"Alocado (remotamente) na Infracommerce, na squad de front-end de Frete do CXaaS.• Principais tecnologias: Vue, TypeScript, Storybook.",front
Senior Frontend Developer,"Trabalhei alocado (remotamente) no Banco BTG Pactual, na squad de front-end em alguns projetos relacionados a investimento. • Principais tecnologias: Angular, TypeScript, GraphQL, Storybook, Jest, GraphQL, REST, Rxjs, Ngxs e SCSS, além de implementações para auxiliar o desenvolvimento e a saúde do processo como Gitflow, patterns de arquitetura, metodologia ágil, entre outras soluções.",front
Programador Sênior,"Desenvolvimento do ERP NFSERVICE (emissão de documentos fiscais, custo, compras, vendas, PCP). Feito em CakePHP, NodeJS, AngularJS. Suporte e atendimento ao cliente.Além da implementação do sistema, cuidava - junto de outros 2 programadores - de toda questão de DevOps: Servidor dedicado, banco de dados, redundância, monitoramento, backup.",fullstack
WebDesigner,"Criação, manutenção e implementação de/em Sistemas para Web. Trabalhei com várias tecnologias (cada cliente da Software House usava uma stack diferente), entre elas: Java, PHP, ASP.",back
Desenvolvedor Full Stack,"Empresa do ramo industrial. O projeto consiste no desenvolvimento de melhorias do sistema interno “Backoffice”, onde foram utilizados Angular 2+, MongoDB e implementações em node.js. Também foram realizadas melhorias no aplicativo desenvolvido em Ionic. Utilizamos o manifesto SCRUM e o Jira.",fullstack
Desenvolvedor Full Stack,"Desenvolvimento da ""Área do Cliente"", sistema voltado para os clientes da empresa. Neste projeto utilizamos PHP com Laravel e banco de dados MySQL, além de HTML e CSS. Foram realizadas integrações com sistemas de terceiros via REST API. Atualmente o sistema é utilizado em vários clientes da empresa, dentre eles o “Clube do Assinante – A Tribuna”.Desenvolvimento do projeto “AGDB”, sistema voltado para gestão interna da empresa. Neste projeto utilizamos PHP com Laravel e banco de dados MySQL, e o front-end em vue.js.",fullstack
Desenvolvedor Full Stack,"- Desenvolvimento de sites front-end- Desenvolvimento de sistemas internos da empresa (back-end)- Experiência com desenvolvimento em PHP, Javascript, jQuery- Participação no projeto do Sistema COBMaster (C# Asp.Net)- Desenvolvimento da loja virtual Cabaninha Kids, utilizando Opencart. Integração com meio de pagamento Cielo, integração com sistema ERP Bling e melhorias para o sistema interno.",fullstack
Analista de sistemas,"- Análise de negócio e sistemas do setor de pagamentos da cooperativa.- Desenvolvimento e manutenção no ERP, APIs e Canais Digitais para pagamentos, folha de pagamentos e custódia de cheques.- Linguagens: .Net Core / Framework, Entity Framework / Core, PL/SQL, Progress, PHP, HTML5, CSS e JavaScript.- Banco de Dados: Oracle e MSSQL.- Vivência com Scrum, Azure DevOps e versionamento Git / Git Flow.",fullstack
Analista de sistema,"- Análise de negócio, sistemas e desenvolvimento na área de pronto atendimento de saúde. - Analisar e desenvolver funcionalidades em um sistema de pronto atendimento/cadastro de pacientes, - Linguagens: Java, SpringBoot, Angular JS. - Banco de Dados: PostgreSQL- Vivência com Kanban utilizando o Jira",fullstack
Full-stack Web Developer,"Na Ellevo, trabalhei na manutenção do sistema CSC, após 3 meses de empresa (nov/19), fui movido para a equipe de start de um novo produto. Incluído em uma equipe ágil que utiliza Scrum para se organizar, atuo como Full-stack, utilizando as tecnologias .Net core, Angular e MongoDB, onde, além de trabalhar ativamente nas features, participei de forma efetiva do planejamento de regras de negócio e experiência de usuário. Na Ellevo também tive contato com tecnologias como Docker, RabbitMQ, C#, Swagger, Git, Azure DevOps, Node, Bootstrap, Metronic, Sass, Angular 8/9.",fullstack
Desenvolvedor de software web,"Atuei como desenvolvedor web, trabalhando na equipe de sustentação em diversas ferramentas internas, mas com foco no ERP acadêmico. Principais atividades: Desenvolvimento web. Tecnologias utilizadas: PHP, JS, Node e PLSQL.",back
Programador,"Trabalhei como desenvolvedor em tempo integral, atuando em novos projetos e melhorias dentro do ERP, e ajustando o sistema interno de controle de lançamento de chamados/horas. Principais atribuições: Desenvolvimento de sistemas. Tecnologias utilizadas: Genexus(desktop v8/web v15), com banco de dados PSQL, Db2, Oracle e SQL Server.",back
Analista de suporte técnico,"Inicialmente trabalhei com atendimento e suporte no ERP e Portal de documentos fiscais, auxiliando os clientes com dúvidas, e efetuando pequenos ajustes. Após alguns meses, comecei a focar mais na parte de desenvolvimento/análise dentro do ERP, em sua maioria, sempre na parte fiscal do ERP, a qual eu tinha um maior conhecimento e controle (principalmente se tratando de SPED's e NF's). Participei de projetos como: Bloco K, viradas de versões de NF-e/NFS-e/CT-e/MDF-e/NFC-e, implantação de sistema de controle de chamados, e migrações de dados para e-commerce parceiro. Principais atribuições: Suporte. desenvolvimento de sistemas e análise de sistema. Tecnologias utilizadas: ZIM(linguagem de programação) com banco de dados ORACLE, também tive contato com Delphi, C# e PHP.",back
Full Stack Senior And Squad Lead,"r, python, reactjs, react‐native, amazon‐web‐services, node.js, graphql, amazon‐eks, kubernetes, nestjs, rabbitmq, apache‐kafka, sonarlint, sonarqube, sonarcloud, typescript, redux, postgresql, kong, .net, kubeflow, apache‐spark

participation in the flight risk project. Project panel made in react js. mobile platform development in react‐native.
implementation of new features in an AI coded in R using python. I created several microservices and monoliths in coe using
typescript, python and c# and their frameworks",fullstack
Senior Frontend Developer,"Atuo no desenvolvimento de projetos para o grupo Fiat. Responsável pelo desenvolvimento de aplicações B2C, usando as Tecnologias ReactJs, NextJs.",front
Frontend Developer,"Atuei no desenvolvimento de uma aplicação WEB, desenvolvendo uma plataforma de QUIZ, onde o cliente cria através de fluxograma um esquema de perguntas e respostas. Com o intuito de levantamento de informações. E o questionário é adicionado a qualquer outra aplicação WEB.",indefinido
Frontend Developer,"Atuei no desenvolvimento em uma ferramenta web voltada para gestão e vendas de seguros. Com React JS, Javascript e conexões com APIs",front
Desenvolvedor de front-end,"Atuei com o desenvolvimento de uma aplicações web para o cliente BMW Munique, com o intuito de gerenciar de recarga de carros elétricos BMW. Gerindo o histórico de recarga e configuração do carregador veicular entre outros.",indefinido
Desenvolvedor Web,"Atuei no desenvolvimento de uma aplicação B2B, onde o corretor de seguros insere os dados do cliente,e a plataforma efetua o cálculo do seguro e efetua a contratação da mesma. Atuei tambématualizando o website institucional do Bradesco",indefinido
Analista Desenvolvedor de Sistemas,"Análise de processos , e desenvolvimento de E-Commerce na plataforma Magento, desenvolvendo módulos customizados em PHP, SQL Server e desenvolvimento de integração com ERP em C#.",back
Diretor de Tecnologia,"Gestão de Sistemas e coordenação de Desenvolvimento e Inovação. Projeto de software multiplataforma para gestão de residuos sólidos em multiplataforma, web e mobile.",indefinido
Desenvolvedor de back end,"Desenvolvedor C# .net, back-end, microserviços, solid, github, mensageria, mongodb, redis, datadog, devops. Atuando como parte de equipe agil na esquadra de INTEROP.",back
Desenvolvedor full stack,"Atuando em equipe remota em sistema de clinica de fertilidade, aplicativo multiplataforma integrado por API, node.js, Vue.Js, Nuxt, NativeScript.",fullstack
Desenvolvedor full stack,"Compondo equipe de Desenvolvimento pós-operação, em atendimento remoto. Atuando em desenvolvimentos .net, DEVOPs, Metodologia Ágil. Mercado Financeiro, C#, Asp.net, Angular.",fullstack
Senior Full Stack Developer,"Desenvolver, implementar e manter sistemas web de acordo com metodologia e técnicas adequada, utilizando Java e Angular para a construção;Codificar e realizar testes;Seguir toda a esteira de desenvolvimento;Liderar equipe de front-end da SQUAD",front
Analista Desenvolvedor Java Pleno,"Desenvolver aplicações em front e back end utilizando Liferay e Java, e outros frameworks disponíveis para web",fullstack
Desenvolvedor Full Stack Junior,"Desenvolvedor Full Stack, lotado na BB Tecnologia e Serviços",fullstack
Desenvolver Full Stack Junior,"Desenvolvedor Full Stack, lotado na BB Tecnologia e Serviços",fullstack
Desenvolvedor PHP e Javascript,Competências: PHP · Laravel · Vue.js · Python · Java,fullstack
Analista Desenvolvedor,"Analise e desenvolvimento de sistemas em C# .Net, Angular.",fullstack
Analista de Sistemas | Desenvolvedor,"Paguemenos Analise e desenvolvimento de sistemas em C# .Net, React. Implementação de rotinas, métodos e adequação de sistemas à LGPD.",fullstack
Analista de Sistemas | Desenvolvedor C#, Analise e desenvolvimento de sistemas web em linguagens C# .Net. Suporte e apoio aos usuários nas soluções desenvolvidas.,back
Analistas de Sistemas, Analise e desenvolvimento de sistemas web em linguagens C# .Net. Desenvolvimento de programas e relatórios em ABAP. Administração e manutenção de bancos de dados MS SQL Server. Suporte e apoio aos usuários nas soluções Corpore TOTVS.Suporte e apoio aos usuários na solução Inside. Treinamento a usuários nos sistemas desenvolvidos. Documentação de sistemas desenvolvidos.,back
Analista de Sistemas,Companhia Siderúrgica do Pecém.,indefinido
Analista de Sistemas," Analise e desenvolvimento de sistemas web em linguagens C# .Net e Java. Administração e manutenção de bancos de dados MS SQL Server e Mysql. Administração e manutenção da intranet (Joomla). Suporte e apoio aos usuários no Sistema Educacional Integrado (ERP). Suporte e apoio aos usuários no Sistema Eletrônico de documentação, SEND. Suporte e apoio aos usuários nas soluções Corpore TOTVS. Treinamento a usuários nos sistemas desenvolvidos. Documentação de sistemas desenvolvidos. Mapeamento de processos internos da TI.",back
Programador de software,Programação em Delphi e Administração de banco de dados,back
Programador java,Prestação de Serviços em programação Java.,back
Programador Delphi,Programação em Delphi,back
Programador Delphi,Programação em Delphi,back
Programador,Desenvolvimento do sistema de gerenciamento de Saúde do município,indefinido
Gerente de TI,Atuei na implantação do sistema de gerenciamento hospitalar e na configuração e implantação de um pabx Voip (Asterisk).,indefinido
Desenvolvedor PHP,"Desenvolvimento de sistema de gerenciamento de provedor ISP, manutenção em redes, configuração de servidores linux, servidores voip (Asterisk) dentre outros cargos os quais mo foram confiados",indefinido
Desenvolvedor / Analista de Sistemas;,Cargo: Administrador / Analista de Sistemas:Trabalhei no desenvolvimento de um sistema para gerenciamento do setor madeireiro interligando os vários setores da empresa,indefinido
Head Mobile Developer,‎Hotfloor - Calefação Ambiente,indefinido
Full-Stack Developer,"▪ Development of websites and web systems;▪ PHP programming;▪ Programming in C # Windows Forms;▪ jQuery, Bootstrap, Css;▪ Configuration and maintenance of cloud and web servers;",fullstack
Front-End Developer,Unimed Santa Maria - Como realizar sua videoconsulta por aplicativo,indefinido
Head Mobile Developer,ZPlan 2.0 - ABS Global Brasil,indefinido
Full-Stack Developer,▪ Node.Js programming;▪ React-Native & ReactJs;▪ Styled-components;▪ Methodology: Scrum.,fullstack
Head Mobile Developer,Front-End:▪ ReactJs;▪ Styled-components;Mobile:▪ React-Native;▪ Styled-components;Back-End:▪ Node.Js;▪ Express.Js.DevOps▪ CI/CD GitHub;▪ AWS - EC2;▪ AWS - S3;▪ AWS - CodePipeline;▪ AWS - CodeBuild;▪ AWS - Elastic Beanstalk.Methodology:▪ Scrum;Softwares:▪ Telegram & Discord▪ Adobe XD▪ Adobe Photoshop▪ Jira Software.,fullstack
Mobile Developer,▪ React-Native;▪ Styled-components;▪ Methodology: Scrum.,mobile
Head Mobile Developer,▪ Node.Js programming;▪ React-Native;▪ Styled-components;▪ Methodology: Scrum.,mobile-fullstack
Full-stack Developer - Channels,▪ PHP and Node.Js programming;▪ AWS Lambda;▪ AWS CI/CD;▪ Whatsapp Integration;▪ Methodology: Scrum.,back
Full-Stack Developer,▪ Development of websites and web systems;▪ Node Development;,back
Software Developer,"▪ Development of websites and web systems;▪ Programming in PHP;▪ Development JQuery, Bootstrap, SASS;",fullstack
Back End Developer,Competências: GitLab · Vue.js · Planejamento em Sprint · Trabalho em equipe · Google Cloud Platform (GCP) · PostgreSQL · Node.js,fullstack
Full Stack Engineer,"Responsável pela área de novas tecnologias, minhas atribuições incluíam desenvolver e documentar novas funcionalidades. As principais tecnologias usadas eram Angular, NestJS e PostgreSQL em um ambiente Microsoft Azure.",fullstack
Development Services,"Currently working on the front-end team implementing new features requested by P.O and P.M, also refactoring old code applying the concepts of SOLID and DRY.Technologies used: ReactJS, StyledComponent, Git, GitHub, Typescript",front
Desenvolvedor da web,"I started helping as a front-end, fixing bugs and maintaining the code, over time I also joined the backend team where I became a fullstack.Technologies used: ReactJS, StyledComponent, Git, GitHub, Javascript.",fullstack
Analista de Desenvolvedor full stack,"Principais responsabilidades
• Analisar e desenvolver projetos de sistemas através de levantamento de requisitos;
• Programação em PHP, CSS, HTML, JavaScript;
• Frameworks VsCode, Laravel,  TailWind, VueJs,  BootStrap;
• Manipulação com banco de dados Sql, MySql, PostGress e Oracle através comandos e Query's no Pgadmin, Workbench e SqlDeveloper;
• Controle de versionamento GIT, GitLab / GitHub / Bitbucket / CodeCommit (plataforma de gerenciamento de projetos e construção softwares e aplicações);
•Cumprimento de objetivos e alcance de metas, assegurar a entrega das soluções quanto ao desenvolvimento, cumprindo dos padrões de qualidade e de atendimento referente aos sistemas da organização;
• Responder pelo cumprimento das políticas, processos e procedimentos, metas, e pelos prazos dos projetos de desenvolvimento;
• Garantir que todos os dados gerados estejam corretos e de conformidade.",fullstack
Analista Desenvolvedor full stack,"Principais responsabilidades
• Gestão e infraestrutura tecnológica em ambiente organizacional, local e em nuvem (Amazon Web Services - IAM, EC2, RDS, S3, Lightsail, Lambda, CloudWatch, Organizations, Route 53, WAF, GuardDuty, Firewall Manager, EBS, Cloud9, CodeCommit, Device Farm); 
• Analisar e desenvolver projetos de sistemas através de levantamento de requisitos;
• Coordenar e desenvolver sistemas (Web e Corporativo); 
• Programação em Java, PHP, CSS, HTML, JavaScript;
• Frameworks VsCode, Laravel, VueJs, Angular, BootStrap;
• Manipulação com banco de dados MySql e Postgress através de Query no Pgadmin e Workbench;
• Controle de versionamento GIT e GitHub / Bitbucket / CodeCommit;
• Administrar Sistemas, apresentando soluções seguras para a racionalização de equipamentos e recursos humanos com inovações tecnológicas;
• Gerenciamento, desenvolvimento em equipe, teste e implantação de Sistemas para atender as necessidades da Organização;
• planejar e acompanhar as atividades relativas ao desenvolvimento dos sistemas, atendendo os padrões de qualidade;
• Liderar equipes multidisciplinares, contratando, motivando, avaliando o desempenho, fornecendo feedback e orientando na resolução de conflitos;
•Cumprimento de objetivos e alcance de metas, assegurar a entrega das soluções quanto ao desenvolvimento, cumprindo dos padrões de qualidade e de atendimento referente aos sistemas comercializados;
• Responder pelo cumprimento das políticas, processos e procedimentos, metas, e pelos prazos dos projetos de desenvolvimento;
• Planejar e acompanhar projetos estratégicos e diretrizes;
• Representar, responder e assumir responsabilidade pela área de atuação perante clientes internos, externos e diretoria; 
• Negociar com o cliente e diretoria, propondo soluções e decidindo as melhores alternativas para o produto e empresa de acordo com sua área de atuação; 
• Garantir que todos os dados gerados estejam corretos e de conformidade;",fullstack
Supervisor de T.I / Analista de Sistemas,"Principais responsabilidades:
• Gestão da infraestrutura tecnológica em ambiente organizacional (Datacenter, Servidores, Softwares e Web);
• Coordenar o desenvolvimento de sistemas (Web e Corporativo);
• Administrar Sistemas, apresentando soluções seguras para a racionalização de equipamentos e recursos humanos com inovações tecnológicas;
• Gerenciamento e desenvolvimento de sistemas em equipe, bem como, testes e implantação de Sistemas para atender as necessidades da Organização;
• Programação em Java, JavaEE, Hibernet, CSS, HTML, JavaScript utilizando Eclipse, Git e GitHub;
• Manipulação com banco de dados DB2 (AS400) por comando Sql.
• Desenvolver, Conduzir e Participar de reuniões de Grupos de Trabalhos;
• Coordenar e direcionar suporte às associadas e aos departamentos da associação;
• Preparar relatórios gerenciais;
• Conduzir manutenções preventivas e corretivas no ambiente organizacional;
• Planejar e aplicar treinamentos para colaboradores de acordo com as necessidades;
• Identificar e desenvolver inovações tecnológicas no ambiente de trabalho;
• Visitas técnicas às empresas associadas, com objetivo de orientar sobre necessidades, dificuldades na integração dos sistemas – para melhoria no processo de comunicação dos dados – associada X associação e vice-versa;
• Planejamento e elaboração de Previsão Orçamentária;
• Participação regular em eventos e comitês de trabalho para debates de temas relacionados T.I.",fullstack
Analista Programador,"Principais responsabilidades:
• Gestão da infraestrutura tecnológica em ambiente organizacional (Datacenter, Servidores, Softwares e Web);
• Gerenciar, desenvolver e efetuar manutenção de sistemas (ERP Corporativo) em Clipper;
• Manipulação com banco de dados Sql em linha de comando.
• Administrar sistemas, apresentando soluções seguras para a racionalização de equipamentos e recursos humanos com inovações tecnológicas;
• Gerenciar, coordenar e executar suporte aos colaboradores nos departamentos da Organização;
• Confeccionar relatórios gerenciais;
• Planejar, treinar os colaboradores de acordo com as necessidades;
• Desenvolver e aplicar inovações tecnológicas no ambiente de trabalho.",indefinido
Senior Software Engineer,A Toro é uma fintech do banco Santander focada em investimentos B2B e B2C. Sou responsável pelo desenvolvimento e manutenção de aplicações Front-End com Angular e React.Tive a oportunidade de participar do desenvolvimento de:- Fluxo de cadastro de novos usuários do PF.- Fluxo de registro de PJ.- Fluxo de atualização de cadastro.- Criação da Dashboard de operações.Aqui trabalhamos com metodologias ágeis Scrum e Kanban gerenciadas usando o software JIRA.,front
Senior Software Engineering,"Desenvolvimento Front-end:- Angular utilizando Design Patterns como Observable, Dependency Injection, Data Transfer Object e outros.- Redux- Hospedado no S3, com Cloudfront como CDN;Desenvolvedor back-end .NET Core e .NET Framework. microsserviços em DDD, com serviços de mensagens com RabbitMQ. SCRUM como metodoliga ágil, seguindo todas as boas práticas e rituais, gerenciando atividades no Jira.",fullstack
Desenvolvedor de software na MEI Fácil,Implementação de nota fiscal de serviços via crawller nas cidades de Salvador e Belo Horizonte.,indefinido
Gerente de desenvolvimento de software,"Principais atividades: Desenvolver aplicações para administração pública, Gerenciamento da equipe de desenvolvimento de software. - Coordenação da equipe de desenvolvimento de software- Líder técnico Front-end e analise de interface de usuário e experiência do usuário (UI/UX)Tecnologias utilizadas para UX/UI: - Figma: Utilizado para prototipagem de interfaces web e mobile.- Adobe XD: Criação de fluxos de uso do softwares em migração de sistemas legados para novas interfaces.- Zeplin: Algumas projetos que usavam o Jira era feita a vinculação com o Zeplin para gerenciamento do andamento da task.Linguagens utilizadas para Front-end:- Angular (Typescript)- React (Typescript)- Redux- Vue com Redux- Arquiterua Flux com Redux;- Styled ComponentsOutras linguagens utilizadas: PHP, Delphi, .Net Core, JavaScript, Node.Outros:- Ministração de treinamentos para usuários. - Levantamento de requisitos para desenvolvimento. - Administração das rotinas do setor.",fullstack
Back End Engineer,"Desenvolvimento de sistemas utilizando o Node, React, Serviços de mensageria com o RabbitMQ, AWS e MongoDB.",fullstack
Back-End Developer,"Desenvolvimento de sistemas através de Microserviços utilizando o Microsoft Azure, C# .NET, CosmosDB, TypeScript e Angular 8.",fullstack
Analista de sistemas,"Desenvolvimento e Manutenção de sistemas usando C#, PHP, Javascript, GraphQL, React",fullstack
Analista Programador,"Desenvolvimento e manutenção de Sistemas Web para os processos internos da empresa, utilizando as linguagens PHP com o Zend Framework, JavaScript com o AngularJS e o banco MySQL.",fullstack
Front End Jr,"Responsável pela experiência do usuário dentro de uma aplicação web, e desenvolver as páginas com as quais, posteriormente, o usuário irá interagir.",indefinido
Development Node.JS,Development and Refactoring in Node.JS,back
Desenvolvedor e Fundador,"Criador do software Nuvol, desenvolvido para ajudar a pequenos, médios e grandes empresários na gestão de estúdios de Pilates.",indefinido
Analista de sistemas e desenvolvedor,"Trabalho com projetos freelancer me Delphi, C# e outras tecnologias.",back
Analista de sistemas e Programador,"Utilizando a linguagem de programação delphi, atuei na equipe de manutenção do ERP voltado para o seguimento de Lojas de Materiais de construção. Fui responsável pela análise, criação e integração de aplicativos para celular e tablet ANROID, que se comunicavam com o ERP principal. Na oportunidade foram criados 3 aplicativos específicos. Um para equipe de vendas, onde os pedidos poderiam ser feitos em qualquer lugar do showroon ou em equipes de vendas externas. O segundo aplicativo de troca de que comunica com a ferramenta de troca de mensagens do ERP. E um terceiro aplicativo para gerência, onde é possível acompanhar via gráficos o desempenho da equipe de vendas, e fazer o comparativo com meses anteriores.",back
Analista de sistemas e desenvolvedor Protheus,"A equipe da fábrica de software na TOTVS, trabalha de forma diferente, o sistema principal, é mantido pela matriz, porém utilizando a linguagem específica deles, o ADVPL, é possível criar em pontos de entrada específicos, funcionalidades, que permitem alterar o comportamento do sistema principal. Minha responsabilidade era fazer a análise da necessidade do cliente e criar as customizações para que o sistema se comporte da forma como o cliente necessita. Em alguns casos, novas funcionalidades eram criadas totalmente do zero, adicionando novos recursos ao sistema principal.",indefinido
Analista de Sistemas e Programador,"Tive a oportunidade de trabalhar em dois momentos diferentes. No primeiro, junto a equipe de manutenção do ERP no segmento varejista, cuidando diretamente das funcionalidades de calculo e emissão de nota fiscal, financeiro e estoque, utilizando como linguagem de programação o delphi.No segundo momento, participei da equipe de novas tecnologias, onde nossa tarefa era reescrever o ERP legado para plataforma web, utilizando as linguagens de programação C# e Asp.net. Atuei neste caso como desenvolvedor e analista",back
Programador,Desenvolvimento e manutenção de sistemas .net para gestão de trânsito.,indefinido
Analista de sistemas e Programador,"Tive a oportunidade de trabalhar em dois momentos diferentes. No primeiro, junto a equipe de manutenção do ERP no segmento varejista, cuidando diretamente das funcionalidades de calculo e emissão de nota fiscal, financeiro e estoque, utilizando como linguagem de programação o delphi.No segundo momento, participei da equipe de novas tecnologias, onde nossa tarefa era reescrever o ERP legado para plataforma web, utilizando as linguagens de programação C# e Asp.net. Atuei neste caso como desenvolvedor e analista",back
Programador,"Programador mobile, na plataforma PalmOS",mobile
Desenvolvedor de front-end,Desenvolvimento do Front End do Dashboard que administra e customiza operações em sistemas subsequentes,front
Desenvolvedor mobile,"desenvolvimento de um aplicativo de consultas para uso interno da empresa, projeto realizado em ReactNative",mobile
Senior Software Engineer,"We are the fastest growing Technology Solutions company in Latin America, with offices across the main cities in LATAM and the US. We have the largest applicants pool in the industry with over 240.000 Software Engineers applying to work with us each year, from which we hire only the Top 1% IT Talent through a rigorous staffing method. This is how we create solid teams of 100% bilingual veteran developers.We work providing end to end delivery for companies of all sizes, from startups to some of the biggest companies in the world, leading projects for Google, Rolls-Royce, Pinterest, IBM, Sirius XM, Motorola, Viacom, among others. The heart of our work is Software Outsourcing, Testing and Operational Support which we provide through a service of fully managed teams that integrate seamlessly into your projects.We are a group led and guided by an Agile mentality. We are a firm founded and run by Developers",indefinido
Senior Full Stack Engineer,"Cloud Computing Services AWS (EC2, S3, IAM, Lambda Functions).Database, backend, frontend and cloud services architecture design.Backend serverless in NodeJS with integration with VTEX, using Chai, Mocha and Mochito for testing.Frontend using Angular 7.Local environment in Docker containers with deployment directly to AWS using BitBucket Pipelines.Git version control.",fullstack
Nome da empresa FCamara Consulting & Training,"Tatix Full ComerceCloud Computing Services AWS (EC2, S3, IAM, Lambda Functions).Backend serverless in NodeJS with integration with VTEX, using Chai, Mocha and Mochito for testing.Frontend using Angular 7.Local environment in Docker containers with deployment directly to AWS using BitBucket Pipelines.Git version control. ",fullstack
Software Specialist,"Backend and frontend development for Ericsson MNVO systems (Java and Angular 5, Restfull APIs) in Scrum process and version control.Frontend requirements analysis and REST Interfaces testing to help define system architecture.Technical documentation using ST4, Arbortext and DITA.",fullstack
Front-End Developer,"Working as a Front-End developer at Ideas Fractal Brasil, I was responsible for maintaining and develop new features in the travel solution ecosystem of the company. On my daily basis, I have an opportunity to work with a multicultural team based in Brazil and Colombia, coding in Angular 2+, HTML5, and SASS and consuming REST APIs in an agile environment. I also work with SCRUM and Kanban.",front
Front-End Developer,"As a front-end developer, I was responsible for translate briefings that come from Latin America, Europe, Africa, and the Middle-East in web pages that can capture the attention of consumers that show interest in the products of their clients.

To do so, I use Adobe Photoshop to design wireframes and other layouts for digital media and my strong knowledge of HTML5, CSS3, and JavaScript to deliver a friendly and responsive digital experience to our visitors.

On a daily basis, I also use jquery, bootstrap 4, flexbox, and SASS to improve my productivity and GIT to work nicely with the developer's team.",front
Desenvolvedor Front-end,"Como desenvolvedor frontend eu fui responsável por trabalhar na implemetação de novos recursos voltados para administração de benefícios de funcionários do banco Safra. Eu desenvolvia novas funcionalidades e componentes com base em telas fornecidas pelo time de UX utilizando principalmente Angular 8 e consumindo APIs REST do próprio banco, além de em conjunto com o time, definir as melhores praticas e abordagens para os desafios do dia a dia e ajudar desenvolvedores juniors no desenvolvimento de atividades.",front
Desenvolvedor Front-end,"Na mLabs, como desenvolvedor frontend, eu utilizo Vue.js e suas principais ferramentas para implentar melhorias e solucionar problemas em uma plataforma SAAS que tem como foco gerar relatórios customizados e gerenciar mídias sociais. Com um time focado na melhoria constante do produto, desenvolvo com base em testes com usuários e consumo APIs proprietárias e de terceiros, utilizando gitflow, scrum e kanban.",front
